epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.5354,0.94035,0.55422,1,0.75542,0.00012852,0.00012852,0.00012852
2,37.2429,0.69933,0.75904,1,0.47654,0.000258949,0.000258949,0.000258949
3,54.3292,0.48474,0.96386,1,0.2272,0.000384006,0.000384006,0.000384006
4,69.9338,0.27612,0.9759,1,0.13298,0.000503691,0.000503691,0.000503691
5,85.0856,0.19391,1,1,0.02284,0.000618004,0.000618004,0.000618004
6,100.799,0.14083,1,1,0.00821,0.000643314,0.000643314,0.000643314
7,116.323,0.15038,1,1,0.00459,0.000629177,0.000629177,0.000629177
8,133.218,0.12048,1,1,0.00139,0.00061504,0.00061504,0.00061504
9,150.255,0.06057,1,1,0.00125,0.000600902,0.000600902,0.000600902
10,166.722,0.06175,1,1,0.00138,0.000586765,0.000586765,0.000586765
11,182.828,0.07609,1,1,0.00059,0.000572628,0.000572628,0.000572628
12,198.846,0.10758,1,1,0.00068,0.000558491,0.000558491,0.000558491
13,214.8,0.0752,1,1,0.00147,0.000544354,0.000544354,0.000544354
14,230.303,0.09972,1,1,0.00223,0.000530216,0.000530216,0.000530216
15,245.733,0.11268,1,1,0.00165,0.000516079,0.000516079,0.000516079
16,260.972,0.14412,1,1,0.00201,0.000501942,0.000501942,0.000501942
17,276.351,0.07737,1,1,0.003,0.000487805,0.000487805,0.000487805
18,293.27,0.08664,1,1,0.00224,0.000473668,0.000473668,0.000473668
19,308.664,0.07425,1,1,0.00158,0.00045953,0.00045953,0.00045953
20,324.222,0.03116,1,1,0.00107,0.000445393,0.000445393,0.000445393
21,340.47,0.12261,1,1,0.00106,0.000431256,0.000431256,0.000431256
22,356.403,0.04937,1,1,0.00056,0.000417119,0.000417119,0.000417119
23,371.796,0.05804,1,1,0.0005,0.000402982,0.000402982,0.000402982
24,387.164,0.03821,1,1,0.0015,0.000388844,0.000388844,0.000388844
25,402.511,0.05049,1,1,0.00212,0.000374707,0.000374707,0.000374707
26,417.622,0.03715,1,1,0.00156,0.00036057,0.00036057,0.00036057
27,436.513,0.02763,1,1,0.00066,0.000346433,0.000346433,0.000346433
28,453.924,0.0744,1,1,0.00014,0.000332296,0.000332296,0.000332296
29,469.042,0.02746,1,1,0.00014,0.000318158,0.000318158,0.000318158
30,484.444,0.02843,1,1,0.00015,0.000304021,0.000304021,0.000304021
31,500.366,0.0806,1,1,0.00041,0.000289884,0.000289884,0.000289884
32,516.992,0.04138,1,1,0.00036,0.000275747,0.000275747,0.000275747
33,531.969,0.05052,1,1,0.0002,0.00026161,0.00026161,0.00026161
34,547.262,0.02398,1,1,0.00022,0.000247472,0.000247472,0.000247472
35,563.323,0.04492,1,1,0.0002,0.000233335,0.000233335,0.000233335
36,579.564,0.02519,1,1,0.00024,0.000219198,0.000219198,0.000219198
37,594.419,0.04097,1,1,0.00026,0.000205061,0.000205061,0.000205061
38,609.616,0.11961,1,1,0.00026,0.000190924,0.000190924,0.000190924
39,624.741,0.04735,1,1,0.00019,0.000176786,0.000176786,0.000176786
40,640.887,0.06375,1,1,0.00022,0.000162649,0.000162649,0.000162649
41,657.13,0.068,1,1,0.00021,0.000148512,0.000148512,0.000148512
42,672.814,0.0526,1,1,0.00011,0.000134375,0.000134375,0.000134375
43,693.242,0.04601,1,1,0.0001,0.000120238,0.000120238,0.000120238
44,711.52,0.04938,1,1,0.0001,0.0001061,0.0001061,0.0001061
45,729.413,0.04669,1,1,0.0001,9.19632e-05,9.19632e-05,9.19632e-05
46,746.724,0.05508,1,1,0.0001,7.7826e-05,7.7826e-05,7.7826e-05
47,764.83,0.02754,1,1,9e-05,6.36888e-05,6.36888e-05,6.36888e-05
48,782.225,0.05245,1,1,0.0001,4.95516e-05,4.95516e-05,4.95516e-05
49,799.585,0.02483,1,1,0.00011,3.54144e-05,3.54144e-05,3.54144e-05
50,817.603,0.0192,1,1,0.00012,2.12772e-05,2.12772e-05,2.12772e-05
